,article_name,article_quality,country,revision_id,population
159,Sobusa Gula-Ndebele,Stub,Zimbabwe,726651867,17354000
160,Sylvester Nguni,Stub,Zimbabwe,726686195,17354000
161,Thamsanqa Mahlangu,Stub,Zimbabwe,726687480,17354000
162,Tichaona Mudzingwa,Stub,Zimbabwe,726687648,17354000
163,Murisi Zwizwai,Stub,Zimbabwe,726687669,17354000
164,Samuel Undenge,Stub,Zimbabwe,726688144,17354000
165,Reuben Marumahoko,Stub,Zimbabwe,726688205,17354000
166,Simon Khaya-Moyo,Stub,Zimbabwe,730764918,17354000
167,"List of candidates in the Zimbabwean parliamentary election, 2013",B,Zimbabwe,735498335,17354000
168,Jevan Maseko,Stub,Zimbabwe,736911246,17354000
169,Munacho Mutezo,Stub,Zimbabwe,738729779,17354000
170,Sesel Zvidzai,Stub,Zimbabwe,738810400,17354000
171,Samuel Sipepa Nkomo,Stub,Zimbabwe,738992625,17354000
172,Faber Chidarikire,Start,Zimbabwe,738992871,17354000
173,Willard Chiwewe,Stub,Zimbabwe,738992910,17354000
174,Martin Dinha,Stub,Zimbabwe,738992918,17354000
175,Herbert Ushewokunze,Stub,Zimbabwe,739137894,17354000
176,Nyasha Chikwinya,Start,Zimbabwe,742899761,17354000
177,Naomi Nhiwatiwa,Start,Zimbabwe,743971092,17354000
178,Bright Matonga,Stub,Zimbabwe,744753863,17354000
179,Thokozani Khuphe,Start,Zimbabwe,747274193,17354000
180,Border Gezi,Start,Zimbabwe,748061603,17354000
181,Rugare Gumbo,Start,Zimbabwe,749496266,17354000
182,George Nyandoro,Start,Zimbabwe,750224976,17354000
183,Paul Chimedza,Stub,Zimbabwe,750428952,17354000
184,Gorden Moyo,Stub,Zimbabwe,750974704,17354000
185,Daniel Shumba,Start,Zimbabwe,753294248,17354000
186,Douglas Mombeshora,Stub,Zimbabwe,755110125,17354000
187,Munyaradzi Gwisai,Start,Zimbabwe,755337199,17354000
188,Olivia Muchena,Start,Zimbabwe,757616307,17354000
189,Paurine Mpariwa,Stub,Zimbabwe,757616437,17354000
190,Sithembiso Nyoni,Stub,Zimbabwe,757617613,17354000
191,Earnest Mudzengi,Stub,Zimbabwe,757796569,17354000
192,Gift Banda,Stub,Zimbabwe,758442662,17354000
193,Wilson Kumbula,Stub,Zimbabwe,759330558,17354000
194,Paurina Mpariwa,Stub,Zimbabwe,760532029,17354000
195,Flora Buka,Stub,Zimbabwe,762630896,17354000
196,Elliot Manyika,Start,Zimbabwe,763330074,17354000
197,Diana Mitchell,Start,Zimbabwe,764299725,17354000
198,Maurice Nyagumbo,Start,Zimbabwe,764826793,17354000
199,Josiah Zion Gumede,Start,Zimbabwe,765095810,17354000
200,Edson Zvobgo,Start,Zimbabwe,767922311,17354000
201,Felix Magalela Mafa Sibanda,C,Zimbabwe,769519957,17354000
202,Tracy Mutinhiri,Stub,Zimbabwe,769876632,17354000
203,Kayisa Ndiweni,Stub,Zimbabwe,771958995,17354000
204,Enoch Dumbutshena,Stub,Zimbabwe,774026217,17354000
205,Hubert Nyanhongo,Stub,Zimbabwe,774061307,17354000
206,James Chikerema,C,Zimbabwe,775935799,17354000
207,Victoria Chitepo,Start,Zimbabwe,776389556,17354000
208,Joel Gabuza,Stub,Zimbabwe,776840034,17354000
209,Trudy Stevenson,Start,Zimbabwe,776943338,17354000
210,Joram Gumbo,Stub,Zimbabwe,777424335,17354000
211,Joseph Chinotimba,C,Zimbabwe,777482252,17354000
212,Nkululeko Sibanda,Start,Zimbabwe,777623864,17354000
213,Janet Banana,Stub,Zimbabwe,777849777,17354000
214,Lazarus Dokora,Stub,Zimbabwe,780062778,17354000
215,Lutho Tapela,Stub,Zimbabwe,782607746,17354000
216,Moven Mahachi,Start,Zimbabwe,783298283,17354000
217,Margaret Dongo,Start,Zimbabwe,783419906,17354000
218,Sekai Holland,C,Zimbabwe,783637102,17354000
219,George Chiweshe,Start,Zimbabwe,783919896,17354000
220,Josiah Mushore Chinamano,Stub,Zimbabwe,784396785,17354000
221,Michael Bimha,Stub,Zimbabwe,784668448,17354000
222,Josiah Tongogara,C,Zimbabwe,786913202,17354000
223,Naison Ndlovu,Stub,Zimbabwe,787854175,17354000
224,Enos Mdlongwa,Stub,Zimbabwe,787854640,17354000
225,Lindiwe Majele Sibanda,Start,Zimbabwe,788247480,17354000
226,Ndabaningi Sithole,C,Zimbabwe,788291899,17354000
227,Ambrose Mutinhiri,Stub,Zimbabwe,788777043,17354000
228,Judith Todd,Start,Zimbabwe,788792548,17354000
229,Andrew Langa,Stub,Zimbabwe,789094827,17354000
230,Christopher Kuruneri,Start,Zimbabwe,789427326,17354000
231,Priscilla Misihairabwi-Mushonga,Stub,Zimbabwe,789545114,17354000
232,Swithun Mombeshora,Stub,Zimbabwe,789545179,17354000
233,Oppah Muchinguri,Stub,Zimbabwe,789545185,17354000
234,Samuel Mumbengegwi,Start,Zimbabwe,789545206,17354000
235,Chris Mushohwe,Stub,Zimbabwe,789545212,17354000
236,Giles Mutsekwa,Stub,Zimbabwe,789545214,17354000
237,Francis Nhema,Stub,Zimbabwe,789545220,17354000
238,Mike Nyambuya,Stub,Zimbabwe,789545233,17354000
239,Solomon Mujuru,C,Zimbabwe,789898624,17354000
240,Ronald Penza,Stub,Zimbabwe,789948565,17354000
241,Joseph Made,Start,Zimbabwe,789965571,17354000
242,Evelyn Masaiti,Stub,Zimbabwe,790034879,17354000
243,Jessie Majome,Start,Zimbabwe,790035057,17354000
244,Theresa Makoni,Stub,Zimbabwe,790423262,17354000
245,List of Presidents of the Senate of Zimbabwe,Stub,Zimbabwe,791068367,17354000
246,Blessing Chebundo,Start,Zimbabwe,791690130,17354000
247,George Charamba,Start,Zimbabwe,793738070,17354000
248,Chenhanho Chimutengwende,Start,Zimbabwe,793820850,17354000
249,Simon Muzenda,Start,Zimbabwe,794934380,17354000
250,Witness Mangwende,Start,Zimbabwe,794934451,17354000
251,Nathan Shamuyarira,C,Zimbabwe,794934469,17354000
252,Joseph Makamba Busha,Stub,Zimbabwe,795007156,17354000
253,Walter Chidakwa,Stub,Zimbabwe,795247525,17354000
254,Maxwell Zeb Shumba,Start,Zimbabwe,795637625,17354000
255,Henry Madzorera,Stub,Zimbabwe,795846349,17354000
256,First Lady of Zimbabwe,Stub,Zimbabwe,796477244,17354000
257,Charles Shanyurai Majange,Stub,Zimbabwe,796608492,17354000
258,Elleck Mashingaidze,Stub,Zimbabwe,796726442,17354000
259,Phillip Chiyangwa,Start,Zimbabwe,797170378,17354000
260,Chenjerai Hunzvi,C,Zimbabwe,797225827,17354000
261,Edward Chindori-Chininga,Start,Zimbabwe,797414978,17354000
262,Arthur Mutambara,C,Zimbabwe,797932659,17354000
263,Edgar Tekere,C,Zimbabwe,798106157,17354000
264,Psychology Maziwisa,C,Zimbabwe,798140615,17354000
265,Isaac Matongo,Stub,Zimbabwe,798248963,17354000
266,Julia Tukai Zvobgo,C,Zimbabwe,798468363,17354000
267,Jameson Timba,Stub,Zimbabwe,799326094,17354000
268,Ben Ncube,Stub,Zimbabwe,799405378,17354000
269,Obedingwa Mguni,Stub,Zimbabwe,799406056,17354000
270,Denis Norman,Start,Zimbabwe,799605293,17354000
271,Japhet Ndabeni Ncube,Stub,Zimbabwe,800407734,17354000
272,Nicholas Mabodoko,Stub,Zimbabwe,800407872,17354000
273,Fay Chung,C,Zimbabwe,800705666,17354000
274,Alfred Makwarimba,Stub,Zimbabwe,801370822,17354000
275,Elphas Mukonoweshuro,Stub,Zimbabwe,801488585,17354000
276,Elton Mangoma,Start,Zimbabwe,801497420,17354000
277,Edna Madzongwe,Start,Zimbabwe,802259324,17354000
278,Fidelis Mhashu,Stub,Zimbabwe,803084855,17354000
279,Promise Mkwananzi,Start,Zimbabwe,803579259,17354000
280,Saviour Kasukuwere,Start,Zimbabwe,804677245,17354000
281,Walter Mzembi,Stub,Zimbabwe,804678140,17354000
282,Kembo Mohadi,Start,Zimbabwe,804811059,17354000
283,Learnmore Jongwe,Start,Zimbabwe,804844902,17354000
284,Lovemore Madhuku,C,Zimbabwe,804895632,17354000
285,List of Finance Ministers of Zimbabwe,Stub,Zimbabwe,804914333,17354000
286,Joice Mujuru,C,Zimbabwe,805993308,17354000
287,Ignatious Chombo,Start,Zimbabwe,806656210,17354000
288,Robert Mugabe,FA,Zimbabwe,806814411,17354000
289,Tichafa Samuel Parirenyatwa,C,Zimbabwe,807159774,17354000
290,Guy Georgias,Start,Zimbabwe,807196681,17354000
291,Grace Mugabe,GA,Zimbabwe,807337237,17354000
292,Guy Clutton-Brock,Start,Zimbabwe,807442408,17354000
293,Template:Uganda-politician-stub,Stub,Uganda,391862070,40141000
294,Template:Uganda-mayor-stub,Stub,Uganda,444767727,40141000
295,Yosia Nadiope of Busoga,Stub,Uganda,655390291,40141000
296,Patrick Mutono,Stub,Uganda,684295893,40141000
297,Stanislaus Okurut,Stub,Uganda,689614169,40141000
298,Charles Oboth Ofumbi,Start,Uganda,693292931,40141000
299,Pumla Kisosonkole,Start,Uganda,693388584,40141000
300,Francis K. Butagira,Start,Uganda,707473503,40141000
301,Otema Allimadi,Stub,Uganda,708054598,40141000
302,Omwony Ojwok,Stub,Uganda,713020154,40141000
303,Jachan Mandir Omach,Stub,Uganda,715433158,40141000
304,Onegi Obel,Start,Uganda,717146307,40141000
305,Saleh Kamba,Stub,Uganda,720059752,40141000
306,John Kabaireho,Stub,Uganda,723957779,40141000
307,Tete Chelangat,Stub,Uganda,724554948,40141000
308,Sarah Kanyike,Stub,Uganda,725742962,40141000
309,Gagawala Wambuzi,Stub,Uganda,726767754,40141000
310,Julius Wandera Maganda,Stub,Uganda,726918511,40141000
311,Haruna Kasolo Kyeyune,Stub,Uganda,726919678,40141000
312,Yabezi Kiiza,Stub,Uganda,736273855,40141000
313,Semei Kakungulu,Start,Uganda,737799048,40141000
314,Abu Mayanja,C,Uganda,746946728,40141000
315,Daniel Kidega,Start,Uganda,753278613,40141000
316,Eng Abner Nangwale,Stub,Uganda,756457100,40141000
317,Yowabu Magada Kawaluuko,Start,Uganda,757388522,40141000
318,Grace Kwiyucwiny,Start,Uganda,757563021,40141000
319,Mary Goretti Kitutu,Start,Uganda,757615490,40141000
320,Rukiya Chekamondo,Start,Uganda,757616921,40141000
321,Sezi Mbaguta,Start,Uganda,757617202,40141000
322,Frederick Ngobi Gume,Stub,Uganda,758395750,40141000
323,Rosemary Seninde,Start,Uganda,758567928,40141000
324,Gerald Ssendaula,C,Uganda,759366517,40141000
325,Juma Oris,Stub,Uganda,759378614,40141000
326,Godfrey Kiwanda,Stub,Uganda,759877869,40141000
327,Geoffrey Onegi Obel,Start,Uganda,760056661,40141000
328,Tom Butime,Start,Uganda,760181848,40141000
329,Dennis Galabuzi Ssozi,Start,Uganda,760184747,40141000
330,Ken Lukyamuzi,Stub,Uganda,763247419,40141000
331,Victoria Sekitoleko,C,Uganda,766481345,40141000
332,Emmanuel Otala,Start,Uganda,766665157,40141000
333,Kabakumba Masiko,C,Uganda,770316807,40141000
334,Innocent Oula,Start,Uganda,771724283,40141000
335,Isaac Mulindwa,Start,Uganda,773245217,40141000
336,Hope Mwesigye,Start,Uganda,773870932,40141000
337,Katikkiro of Buganda,Stub,Uganda,774683767,40141000
338,Daudi Cwa II of Buganda,Start,Uganda,774683907,40141000
339,Ssuuna II of Buganda,Start,Uganda,774684052,40141000
340,Kamaanya of Buganda,C,Uganda,774684080,40141000
341,Semakookiro of Buganda,Start,Uganda,774684109,40141000
342,Jjunju of Buganda,Start,Uganda,774684124,40141000
343,Kato Kintu,Start,Uganda,774684195,40141000
344,Chwa I of Buganda,Start,Uganda,774684228,40141000
345,Kyabaggu of Buganda,Start,Uganda,774830237,40141000
346,Kiweewa of Buganda,Start,Uganda,774831268,40141000
347,Ismael Orot,Stub,Uganda,775522497,40141000
348,James Obita,Stub,Uganda,775995921,40141000
349,Janat Mukwaya,Start,Uganda,776107670,40141000
350,Besueri Kiwanuka Lusse Mulondo,Start,Uganda,776344991,40141000
351,Jeremiah Twa-Twa,Start,Uganda,776491782,40141000
352,Joyce Kakuramatsi Kikafunda,Stub,Uganda,777643576,40141000
353,Kania Obiga,Stub,Uganda,778265355,40141000
354,Apollo Kironde,Stub,Uganda,778598971,40141000
355,Kibirige Mayanja,Start,Uganda,778840186,40141000
356,Kintu Musoke,Start,Uganda,779007768,40141000
357,Jessica Alupo,Start,Uganda,779397351,40141000
358,Rebecca Amuge Otengo,Start,Uganda,779397437,40141000
359,Syda Bbumba,Start,Uganda,779397532,40141000
360,Alintuma Nsambu,Stub,Uganda,781605803,40141000
361,Esther Mbulakubuza Mbayo,Start,Uganda,781789704,40141000
362,Abdul Nadduli,Stub,Uganda,782460126,40141000
363,Moses Kizige,Start,Uganda,782979760,40141000
364,Maria Kiwanuka,Start,Uganda,783449036,40141000
365,Elijah Mushemeza,Start,Uganda,784734768,40141000
366,Michael Lulume Bayigga,Start,Uganda,784768216,40141000
367,Deo Rwabiita,Stub,Uganda,785038536,40141000
368,Daudi Ochieng,Stub,Uganda,785108122,40141000
369,Joy Kabatsi,Start,Uganda,785339072,40141000
370,Joshua Wanume Kibedi,C,Uganda,785862055,40141000
371,Kizza Besigye,C,Uganda,786081128,40141000
372,Apolo Kagwa,C,Uganda,786226893,40141000
373,Michael Kawalya Kagwa,Stub,Uganda,787306486,40141000
374,Abed Bwanika,Start,Uganda,787410566,40141000
375,Aggrey Awori,C,Uganda,787858057,40141000
376,Aggrey Bagiire,Stub,Uganda,787858062,40141000
377,Agnes Akiror,Start,Uganda,787870163,40141000
378,Namirembe Bitamazire,Start,Uganda,788019797,40141000
379,Amon Bazira,Stub,Uganda,788899061,40141000
380,Christopher Iga,Stub,Uganda,788972378,40141000
381,Nasser Sebaggala,Start,Uganda,788972461,40141000
382,Erias Lukwago,Start,Uganda,788972566,40141000
383,Template:KampalaMayors,Stub,Uganda,788972642,40141000
384,Beatrice Wabudeya,Start,Uganda,789747515,40141000
385,Jane Aceng,C,Uganda,789747629,40141000
386,Ruth Achieng,Stub,Uganda,789747664,40141000
387,Justine Ayebazibwe,Stub,Uganda,789748037,40141000
388,Jessica Eriyo,Start,Uganda,789748269,40141000
389,Mary Karooro Okurut,C,Uganda,789748670,40141000
390,Adrian Tibaleka,Stub,Uganda,789748752,40141000
391,Nusura Tiperu,Start,Uganda,789748782,40141000
392,Florence Nakiwala Kiyingi,Start,Uganda,789748978,40141000
393,Ruth Nankabirwa,Start,Uganda,789799593,40141000
394,Justine Lumumba Kasule,Start,Uganda,789799605,40141000
395,Idah Nantaba,C,Uganda,789799744,40141000
396,Harriet Ntabazi,Start,Uganda,789799847,40141000
397,Florence Nebanda,Start,Uganda,789799901,40141000
398,Lukia Isanga Nakadama,Start,Uganda,789799952,40141000
399,Mariam Nalubega,Start,Uganda,789799984,40141000
400,Jenipher Namuyangu,C,Uganda,789800111,40141000
401,Sarah Kataike,C,Uganda,789800331,40141000
402,Caroline Amali Okao,Start,Uganda,789800629,40141000
403,Beatrice Rwakimari,Stub,Uganda,789803765,40141000
404,Mariam Naigaga,C,Uganda,790372580,40141000
405,Rose Akol,Start,Uganda,790424964,40141000
406,Amelia Kyambadde,Start,Uganda,790428762,40141000
407,Jehoash Mayanja Nkangi,Start,Uganda,790837175,40141000
408,Joash Mayanja Nkangi,C,Uganda,790993796,40141000
409,Moses Adome,Stub,Uganda,791007274,40141000
410,Paulson Luttamaguzi,Stub,Uganda,791007297,40141000
411,Charles Engola,Start,Uganda,793154991,40141000
412,Cerinah Nebanda,Start,Uganda,793515881,40141000
413,John Ssebaana Kizito,Start,Uganda,793539141,40141000
414,Persis Namuganza,Start,Uganda,793628029,40141000
415,Christine Amongin Aporu,Start,Uganda,794194807,40141000
416,Christine Ondoa,Start,Uganda,794200311,40141000
417,Concy Aciro,Start,Uganda,795100048,40141000
418,Peace Mutuuzo,Start,Uganda,795181968,40141000
419,Patrick Kayemba,Stub,Uganda,795404749,40141000
420,Alengot Oromait,Start,Uganda,795458281,40141000
421,Beti Kamya-Turwomwe,C,Uganda,796177970,40141000
422,Abdu Katuntu,Start,Uganda,796406864,40141000
423,Loyce Biira Bwambale,Start,Uganda,796684047,40141000
424,Mike Kennedy Sebalu,Stub,Uganda,796694225,40141000
425,Miria Matembe,Start,Uganda,796695675,40141000
426,Kalema of Buganda,Start,Uganda,796808819,40141000
427,Maria Mutagamba,C,Uganda,796899099,40141000
428,Sarah Achieng Opendi,Start,Uganda,796991691,40141000
429,Benedicto Kiwanuka,Start,Uganda,797399615,40141000
430,Yusuf Lule,Start,Uganda,797449179,40141000
431,Miria Obote,Stub,Uganda,797874277,40141000
432,Grace Akello,Start,Uganda,798483499,40141000
433,Joyce Moriku,Start,Uganda,798506935,40141000
434,David Karubanga,Stub,Uganda,799178559,40141000
435,Peter Takirambudde,Stub,Uganda,799513148,40141000
436,Mustafa Adrisi,Stub,Uganda,799651351,40141000
437,Rose Namayanja,C,Uganda,800003733,40141000
438,Timeline of Kampala,C,Uganda,800090136,40141000
439,Dora Byamukama,Stub,Uganda,800350710,40141000
440,Kirya Balaki Kebba,C,Uganda,800452152,40141000
441,Ismail Ogama,Stub,Uganda,800595514,40141000
442,Kassiano Wadri,Stub,Uganda,800595577,40141000
443,Abraham Waligo,Stub,Uganda,800900766,40141000
444,Rebecca Kadaga,C,Uganda,800965489,40141000
445,Emma Boona,C,Uganda,801577218,40141000
446,Augustine Nshimye,Start,Uganda,801836959,40141000
447,Ibrahim Ssemujju Nganda,Start,Uganda,801874546,40141000
448,Paulo Muwanga,C,Uganda,802211455,40141000
449,Christopher Kibanzanga,Start,Uganda,802286792,40141000
450,Ezekiel Tenywa Wako of Busoga,Stub,Uganda,802517620,40141000
451,Robert Kyagulanyi Ssentamu,GA,Uganda,802822017,40141000
452,Mariam Najjemba,Start,Uganda,802972400,40141000
453,Bernadette Olowo,Stub,Uganda,803360897,40141000
454,Monica Azuba Ntege,Start,Uganda,803417110,40141000
455,Benna Namugwanya,Start,Uganda,804317144,40141000
456,Dorothy Hyuha,Start,Uganda,804643751,40141000
457,Sam Cheptoris,Start,Uganda,804781815,40141000
458,Betty Oyella Bigombe,C,Uganda,804829931,40141000
459,Muwenda Mutebi II of Buganda,C,Uganda,804856220,40141000
460,Nabilah Naggayi Sempala,Start,Uganda,804883827,40141000
461,Charles Mayiga,Start,Uganda,804903944,40141000
